country,Languages
Aland,Swedish,Finnish
Cambodia,Khmer
Germany,German
Jersey,English
Montenegro,Montenegrin
Puerto Rico,Spanish,English
Sweden,Swedish
Albania,Albanian
Canada,English,French
Ghana,English
Jordan,Arabic
Mozambique,Portuguese
Qatar,Arabic
Switzerland,German,French,Italian
American Samoa,Samoan,English
Chile,Spanish
Gibraltar,English
Kenya,Swahili,English
Myanmar,Burmese
Reunion,French
Taiwan,Chinese
Andorra,Catalan,Spanish,French
China,Chinese
Greece,Greek
Kyrgyzstan,Kyrgyz,Russian
Nepal,Nepali
Romania,Romanian
Tanzania,Swahili,English
Antarctica,English
Colombia,Spanish
Greenland,Greenlandic,English
Laos,Lao
Netherlands,Dutch
Russia,Russian
Thailand,Thai
Argentina,Spanish
Costa Rica,Spanish
Guam,Chamorro,English
Latvia,Latvian
New Zealand,English,Maori
San Marino,Italian
Tunisia,Arabic
Armenia,Armenian
Croatia,Croatian
Guatemala,Spanish
Lebanon,Arabic
Nigeria,English
Senegal,French
Turkey,Turkish
Australia,English
Curacao,Dutch,Papiamento
Hong Kong,Chinese,English
Lesotho,Sesotho,English
North Macedonia,Macedonian
Serbia,Serbian
US Virgin Islands,English
Austria,German
Czechia,Czech
Hungary,Hungarian
Lithuania,Lithuanian
Northern Mariana Islands,Chamorro,English
Singapore,English,Malay,Chinese,Tamil
Uganda,English,Swahili
Bangladesh,Bengali
Denmark,Danish
Iceland,Icelandic
Luxembourg,Luxembourgish,French,German
Norway,Norwegian
Slovakia,Slovak
Ukraine,Ukrainian
Belarus,Belarusian,Russian
Dominican Republic,Spanish
India,Hindi,English
Macao,Chinese,Portuguese
Pakistan,Urdu,English
Slovenia,Slovenian
United Arab Emirates,Arabic, English
Belgium,Dutch,French,German
Ecuador,Spanish
Indonesia,Indonesian
Madagascar,Malagasy,French
Palestine,Arabic
South Africa,English,Afrikaans
United Kingdom,English
Bermuda,English
Egypt,Arabic
Iraq,Arabic,Kurdish
Malaysia,Malay
Paraguay,Spanish,Guarani
South Georgia and South Sandwich Islands,English
United States,English
Bhutan,Dzongkha
Estonia,Estonian
Ireland,English,Irish
Malta,Maltese,English
Peru,Spanish
South Korea,Korean
Uruguay,Spanish
Bolivia,Spanish
Eswatini,Swati,English
Isle of Man,English,Manx
Martinique,French
Philippines,Filipino,English
South Sudan,English
Venezuela,Spanish
Botswana,English,Tswana
Faroe Islands,Faroese
Israel,Hebrew,Arabic
Mexico,Spanish
Pitcairn Islands,English
Spain,Spanish
Vietnam,Vietnamese
Brazil,Portuguese
Finland,Finnish
Italy,Italian
Monaco,French
Poland,Polish
Sri Lanka,Sinhala,Tamil
Svalbard and Jan Mayen,Norwegian

